Fighter's ID,2018-10-09,2018-10-11,2018-10-12,2018-10-13,2018-10-14,2018-10-15,2018-10-16,2018-10-17,2018-10-18
DelMonteOrange,75041,77512,77512,78741,80541,82571,83086,86216,86216
kortazang,67903,69009,69403,71391,72187,72623,72723,73120,73120
IIDX_CHIKEN_PS4,55160,57109,58158,59009,59009,59009,59524,60918,61183
oblmom,51536,51536,51536,51536,51536,,,,
armpitplay,50573,50374,50374,50449,50449,50312,50367,51832,51594
KR_WrestlingMan,35273,35273,35273,35273,35273,35273,35273,35273,35273
information,35243,35243,35243,35243,35243,35243,35243,35243,35243
MnR-DongDong2,35028,35028,35028,35028,35028,35028,35028,35028,35028
rinbo7-pc,30033,30033,30033,30033,30033,30033,30033,30033,30033
Sybox85,25529,25529,25529,25529,25529,25610,25610,25687,
ContaNaVi,25450,25450,25450,25450,25450,25450,25450,25450,25450
Azuremoon,25376,25376,25376,25376,25376,25376,25376,25376,25376
Samoyed,25364,25364,25364,25364,25364,25364,25364,25364,25364
emptyroom,25360,25071,25434,23884,25018,,,,
JIOKBULBANDO_PS4,24796,24796,25034,24708,25152,24635,,,
CatMayor,24660,24650,24681,25254,25629,25629,25033,24689,24614
darkHwany,24560,24560,24560,24560,24775,24765,25225,24709,24838
Raknos,21462,21462,21462,21462,21462,21462,21462,21462,21462
REDFLOWER,21455,19954,21448,21448,21448,20847,20352,19604,19604
SSONGDOO_TV,20654,20156,20153,20133,20412,20646,21041,21078,21078
FoxRain-Pc,20138,20138,20138,20138,20138,20138,20138,20138,20138
Scutum,20090,20090,20090,20090,20090,20090,20090,20090,20090
FourDollar,20083,20083,20083,20083,20083,20083,20083,20083,20083
KOR_ZARD,20056,19921,19921,19921,19921,19921,19921,19801,19801
KickBomb,20028,20028,20028,20028,20028,20028,20028,20028,20028
Rmaskforce_PS4,19234,19234,18950,18859,18859,18859,18859,18859,18859
almaloss,19123,19123,19123,19123,19123,19123,19123,19123,18813
ATAEDIE,18968,18665,20033,20033,20033,20033,20033,20033,20033
esw310,18481,18623,17871,17652,18457,19330,19330,19820,19820
SalaryLupin,17087,17223,16655,17754,17541,17097,17945,17945,17945
KaKaoTalk,16905,16905,16905,16905,16905,16905,16905,16905,16905
Thrall_77,16171,16171,16171,16036,15614,15408,15515,16815,16815
Cittadi,15888,15888,15888,15888,15888,16035,16000,16000,16000
Dominant_PS4,15044,15044,15044,15044,15044,15044,15044,15044,15044
extremin,14091,14091,14060,14060,14060,14060,14060,14060,14060
JaebumPark,14083,14083,14083,14083,14083,14083,14083,14417,14349
Tiberlake,14075,14075,14075,14075,14075,14075,14075,14075,14075
DBsang-steam,13897,13897,13897,13897,13897,13897,13897,13897,13897
Baninrok,13455,14039,14039,14039,14039,14039,14039,14039,14039
GuardJung,13322,13322,13322,13322,13322,13322,13322,13322,13322
isamix,11709,11490,11490,12327,12327,12327,12327,12327,12327
Hang-In,11354,11361,10714,10714,11287,11380,12208,12541,13125
kor_bbom,10597,10918,11165,11470,11470,11405,12118,12811,12811
JellyShoP,10352,10352,10352,10352,10352,10352,10352,10352,10352
artheaven,10317,10511,10251,10251,10251,10251,10251,10537,10537
akchul,10035,10035,10035,10035,10035,10035,10035,10035,10035
Tecith,10027,10027,10027,10027,10027,9597,9597,9597,9597
Panzerdivision,10007,10007,10007,10007,10007,10007,10007,10007,9970
hubigo,9404,9404,9404,9404,9404,9404,9404,9404,9404
q-port,9217,9217,9217,9217,9217,9217,9217,9217,9217
EXTRAUSER,8994,8910,9739,9932,9932,9932,10648,10615,10615
llllllll,8763,8711,8711,8838,8838,,,,
3World,8320,8320,8320,8320,8320,,,,
Sakul_Sakul,7592,7592,7592,7592,7592,7592,7592,7592,7592
LastOfAkiha,7337,7337,7551,7551,7551,7551,7551,7551,7551
yunkwon,7277,7277,7277,7277,7277,7277,7277,7210,7210
MCjintai_go,7132,7291,,,,,,,
kimboram,6817,6817,6817,6817,6817,6817,6817,6817,6817
ALT_KEY,6779,6779,6779,6779,6779,,,,
John-Wick,6505,6550,6552,6125,6808,7135,6923,6385,6078
dhschenk,6455,6455,6455,5387,5387,5387,5387,5409,5405
Animal6,5960,5960,5960,5960,5960,5960,5960,7350,8295
sfktj-karin,5959,5959,5959,5959,5959,5959,5959,5959,5959
son01420309,5828,5828,5828,5828,5828,6324,6153,5999,5875
Hanna_KR,5789,6551,6551,6551,6551,6231,6231,6231,5292
hayasen,5657,5657,5657,5657,5657,5657,5657,5657,5657
Sinsquare,5536,5536,5536,5536,5536,5536,5536,5592,5592
Justice84,5460,5290,5290,5290,5290,5290,5290,5290,5290
NopeinNogein,5273,5273,5273,5273,5273,4958,4958,4958,5132
akavata,4258,4288,4628,4628,5100,5081,5525,5525,5525
GODJUHONG,4219,4219,4219,4219,4219,4219,4219,4219,4219
pekoshin,4099,4099,4099,4034,4032,4032,4058,4058,4058
RockmanHH,4060,4060,4060,4060,4060,4060,4060,4060,4060
thealto,4056,4056,4056,4056,4056,4056,4056,4056,4056
MagmaAxis,4018,4018,4018,4018,4018,4018,4018,4018,4018
I_am_chobo,4003,4003,4003,4003,4003,4003,4003,4003,4003
ImDomi,3507,3507,3100,3147,3147,3351,3092,3397,3397
Xiller,3439,3439,3439,3439,3439,3439,3439,3439,3439
0mnibus,3296,3296,3296,3296,3296,3296,3296,3296,3296
notpsycho,3164,7126,7829,8258,8258,9152,10427,10620,12075
insanity_player,3026,3026,3026,3026,2784,2784,2784,3023,3023
Hand_of_Nod,3005,3005,3005,3005,3005,3005,3005,3005,3005
NaKwang,3004,3004,3004,3004,3004,3004,3004,3004,3004
lee30111,2994,2994,2994,2994,2994,2994,2994,2994,2994
ellengarden,2991,3030,3030,3054,3054,3054,3054,3054,3054
MARUNARAE,2475,2475,2475,2475,2475,2475,2475,2475,2475
kubambam,2472,2472,2472,2472,2472,2472,2472,2472,2472
Rantert_choo,2382,2382,2382,2382,2382,2382,2382,2686,2686
GOLDENMANGGO,2109,2823,2823,2823,2758,1943,2306,2306,2306
kr_solohappy,2033,2033,2033,2033,2033,2033,2033,2033,2033
ryurisa,1889,2050,2170,2170,2170,2277,2277,2299,2262
KKAMANG,1660,1880,2047,2047,2000,2080,2080,1890,1890
SQUILLA,1561,1561,1561,1561,1561,1561,1561,1561,1561
AHIIII,1502,1502,1502,1502,1502,2047,2047,2047,2047
kimjun,1388,1275,1488,1488,1488,1077,1251,1251,1091
Kanie_SDM,1176,1176,1176,1176,1176,1176,1176,1176,1176
Emiyamulzomdao,1141,1141,1141,1141,1141,1141,1141,1141,1141
youbaek,1050,1050,1050,1050,1050,1050,1050,1050,1050
Balttako_Zara,901,901,901,901,901,901,901,901,901
kissmylip,823,760,623,623,623,623,623,718,737
5Highnoon,600,600,600,600,600,600,600,600,600
Zero_ten,372,372,372,372,372,372,372,372,372
McKachu,120,120,120,120,120,120,120,120,120
js_sick,0,0,0,0,0,0,0,0,0
nanahistory,0,0,0,0,0,0,0,0,0
Feelingit,0,0,0,563,563,563,563,563,563
0ovwwvo0,0,0,,,,,,,
YunduUdonta,,,14877,15146,16410,17027,17598,17937,18082
LSBSBLSB,,,2987,3286,1571,1124,3108,3627,3627
gghnnh67,,,0,0,0,0,0,0,0
kongtrex,,,,30021,30021,30021,30021,30021,30021
HyoWonDaddy,,,,27402,27542,27639,27150,27288,27288
GubniPR,,,,25099,25506,25506,25506,25506,25506
Ohhoho,,,,6537,6537,,,,
SFV_Binto,,,,,,,,7905,7905
Razahn,,,,,,,,7422,7422
FaceJoker,,,,,,,,2039,2039
realvocalist,,,,,,,,1521,1521
